ORDERTYPE,CUSTOMER,ITEMCODE,ORDERDATE,ORDERNO,OREDEREDQUANTITY,DELIVERYDATE,INVOICENO,DELIVEREDQUANTITY
ES3,C00205,IT0001481,18-FEB-2014 12.00.00.000000000 AM,255081,90,26-FEB-2014 12.00.00.000000000 AM,21300948,90
ES3,C00205,IT0001151,18-FEB-2014 12.00.00.000000000 AM,255081,256,26-FEB-2014 12.00.00.000000000 AM,21300948,104
ES3,C00205,IT0001151,18-FEB-2014 12.00.00.000000000 AM,255081,256,27-FEB-2014 12.00.00.000000000 AM,21300966,152
ES3,C00128,IT0001133,17-FEB-2014 12.00.00.000000000 AM,255084,16,19-FEB-2014 12.00.00.000000000 AM,21300812,16
ES3,C00128,IT0001088,19-FEB-2014 12.00.00.000000000 AM,255096,320,20-FEB-2014 12.00.00.000000000 AM,21300819,320
ES1,C00240,IT0001376,20-FEB-2014 12.00.00.000000000 AM,255098,15,21-FEB-2014 12.00.00.000000000 AM,21300837,15
ES1,C00107,IT0001464,23-FEB-2014 12.00.00.000000000 AM,255103,1,23-FEB-2014 12.00.00.000000000 AM,21300857,1
ES1,C00107,IT0001451,23-FEB-2014 12.00.00.000000000 AM,255103,2,23-FEB-2014 12.00.00.000000000 AM,21300857,2
ES3,C00335,IT0001012,20-FEB-2014 12.00.00.000000000 AM,255106,250,21-FEB-2014 12.00.00.000000000 AM,21300860,250
ES1,C00354,IT0001040,21-FEB-2014 12.00.00.000000000 AM,255110,72,26-FEB-2014 12.00.00.000000000 AM,21300929,72
ES1,C00313,IT0001443,25-FEB-2014 12.00.00.000000000 AM,255135,13,26-FEB-2014 12.00.00.000000000 AM,21300932,13
ES3,C00314,IT0001088,19-JAN-2014 12.00.00.000000000 AM,254904,160,04-FEB-2014 12.00.00.000000000 AM,21300530,160
ES3,C00314,IT0001068,19-JAN-2014 12.00.00.000000000 AM,254904,72,04-FEB-2014 12.00.00.000000000 AM,21300530,72
ES1,C00299,IT0001265,21-JAN-2014 12.00.00.000000000 AM,254920,10002,09-FEB-2014 12.00.00.000000000 AM,21300596,10002
ES3,C00102,IT0001012,21-JAN-2014 12.00.00.000000000 AM,254924,250,28-JAN-2014 12.00.00.000000000 AM,21300395,250
ES3,C00311,IT0001162,21-JAN-2014 12.00.00.000000000 AM,254929,40,23-JAN-2014 12.00.00.000000000 AM,21300369,40
ES1,C00283,IT0001020,22-JAN-2014 12.00.00.000000000 AM,254935,160,23-JAN-2014 12.00.00.000000000 AM,21300349,160
ES3,C00316,IT0001113,23-JAN-2014 12.00.00.000000000 AM,254940,144,28-JAN-2014 12.00.00.000000000 AM,21300428,144
ES1,C00140,IT0001371,28-JAN-2014 12.00.00.000000000 AM,254943,10,30-JAN-2014 12.00.00.000000000 AM,21300448,10
ES3,C00238,IT0001088,28-JAN-2014 12.00.00.000000000 AM,254947,640,30-JAN-2014 12.00.00.000000000 AM,21300469,480
ES3,C00238,IT0001088,28-JAN-2014 12.00.00.000000000 AM,254947,640,02-FEB-2014 12.00.00.000000000 AM,21300497,160
ES3,C00311,IT0001020,29-JAN-2014 12.00.00.000000000 AM,254955,160,29-JAN-2014 12.00.00.000000000 AM,21300459,160
ES3,C00311,IT0001040,29-JAN-2014 12.00.00.000000000 AM,254955,72,29-JAN-2014 12.00.00.000000000 AM,21300459,72
ES1,C00246,IT0001088,29-JAN-2014 12.00.00.000000000 AM,254958,160,30-JAN-2014 12.00.00.000000000 AM,21300470,160
ES1,C00196,IT0001371,07-FEB-2014 12.00.00.000000000 AM,254966,6,18-FEB-2014 12.00.00.000000000 AM,21300792,6
ES1,C00351,IT0001096,30-JAN-2014 12.00.00.000000000 AM,254970,3,04-FEB-2014 12.00.00.000000000 AM,21300511,3
ES3,C00127,IT0001020,30-JAN-2014 12.00.00.000000000 AM,254978,1280,12-FEB-2014 12.00.00.000000000 AM,21300682,640
ES3,C00127,IT0001020,30-JAN-2014 12.00.00.000000000 AM,254978,1280,17-FEB-2014 12.00.00.000000000 AM,21300763,320
ES3,C00238,IT0001151,31-JAN-2014 12.00.00.000000000 AM,254980,48,27-FEB-2014 12.00.00.000000000 AM,21300968,48
ES3,C00301,IT0001151,31-JAN-2014 12.00.00.000000000 AM,254983,40,12-FEB-2014 12.00.00.000000000 AM,21300690,40
ES3,C00301,IT0001139,31-JAN-2014 12.00.00.000000000 AM,254983,16,10-FEB-2014 12.00.00.000000000 AM,21300644,16
ES1,C00301,IT0001012,02-FEB-2014 12.00.00.000000000 AM,254989,2000,05-FEB-2014 12.00.00.000000000 AM,21300574,1000
ES1,C00301,IT0001012,02-FEB-2014 12.00.00.000000000 AM,254989,2000,06-FEB-2014 12.00.00.000000000 AM,21300586,500
ES1,C00301,IT0001012,02-FEB-2014 12.00.00.000000000 AM,254989,2000,10-FEB-2014 12.00.00.000000000 AM,21300645,500
ES3,C00240,IT0001020,02-FEB-2014 12.00.00.000000000 AM,254992,160,10-FEB-2014 12.00.00.000000000 AM,21300643,160
ES3,C00311,IT0001088,05-FEB-2014 12.00.00.000000000 AM,255012,160,09-FEB-2014 12.00.00.000000000 AM,21300597,160
ES3,C00311,IT0001124,05-FEB-2014 12.00.00.000000000 AM,255013,40,10-FEB-2014 12.00.00.000000000 AM,21300653,40
ES1,C00101,IT0001088,05-FEB-2014 12.00.00.000000000 AM,255015,160,06-FEB-2014 12.00.00.000000000 AM,21300568,160
ES3,C00205,IT0001406,05-FEB-2014 12.00.00.000000000 AM,255017,25,06-FEB-2014 12.00.00.000000000 AM,21300579,25
ES3,C00205,IT0001159,05-FEB-2014 12.00.00.000000000 AM,255017,160,10-FEB-2014 12.00.00.000000000 AM,21300652,96
ES3,C00205,IT0001151,05-FEB-2014 12.00.00.000000000 AM,255017,80,06-FEB-2014 12.00.00.000000000 AM,21300579,80
ES3,C00205,IT0001159,05-FEB-2014 12.00.00.000000000 AM,255017,160,06-FEB-2014 12.00.00.000000000 AM,21300579,64
ES3,C00342,IT0001076,06-FEB-2014 12.00.00.000000000 AM,255030,500,13-FEB-2014 12.00.00.000000000 AM,21300693,500
ES3,C00301,IT0001076,09-FEB-2014 12.00.00.000000000 AM,255041,500,09-FEB-2014 12.00.00.000000000 AM,21300621,500
ES3,C00313,IT0001088,10-FEB-2014 12.00.00.000000000 AM,255046,160,10-FEB-2014 12.00.00.000000000 AM,21300655,160
ES1,C00205,IT0001371,12-FEB-2014 12.00.00.000000000 AM,255058,20,18-FEB-2014 12.00.00.000000000 AM,21300778,20
ES3,C00173,IT0001085,06-OCT-2013 12.00.00.000000000 AM,219726,750,02-JAN-2014 12.00.00.000000000 AM,21300005,250
ES3,C00173,IT0001085,06-OCT-2013 12.00.00.000000000 AM,219726,750,16-JAN-2014 12.00.00.000000000 AM,21300215,250
ES3,C00173,IT0001018,06-OCT-2013 12.00.00.000000000 AM,219726,2000,02-JAN-2014 12.00.00.000000000 AM,21300005,1000
ES3,C00173,IT0001018,06-OCT-2013 12.00.00.000000000 AM,219726,2000,16-JAN-2014 12.00.00.000000000 AM,21300215,250
ES1,C00187,IT0001044,28-NOV-2013 12.00.00.000000000 AM,219799,100,10-JAN-2014 12.00.00.000000000 AM,21300118,100
ES1,C00256,IT0001197,09-DEC-2013 12.00.00.000000000 AM,219809,40,02-JAN-2014 12.00.00.000000000 AM,21300003,40
ES1,C00264,IT0001106,15-DEC-2013 12.00.00.000000000 AM,219812,20,26-FEB-2014 12.00.00.000000000 AM,21300938,20
ES1,C00264,IT0001096,02-JAN-2014 12.00.00.000000000 AM,219813,750,02-JAN-2014 12.00.00.000000000 AM,21300008,750
ES1,C00283,IT0001124,15-JAN-2014 12.00.00.000000000 AM,254881,16,16-JAN-2014 12.00.00.000000000 AM,21300223,16
ES3,C00301,IT0001088,15-JAN-2014 12.00.00.000000000 AM,254883,160,22-JAN-2014 12.00.00.000000000 AM,21300344,160
ES3,C00238,IT0001088,17-JAN-2014 12.00.00.000000000 AM,254891,320,19-JAN-2014 12.00.00.000000000 AM,21300278,320
ES3,C00238,IT0001020,17-JAN-2014 12.00.00.000000000 AM,254891,160,29-JAN-2014 12.00.00.000000000 AM,21300451,160
ES1,C00246,IT0001433,19-JAN-2014 12.00.00.000000000 AM,254895,8,20-JAN-2014 12.00.00.000000000 AM,21300301,8
ES1,C00186,IT0001012,17-JAN-2014 12.00.00.000000000 AM,254901,1000,19-JAN-2014 12.00.00.000000000 AM,21300283,1000
ES1,C00112,IT0001116,02-FEB-2014 12.00.00.000000000 AM,219879,500,19-FEB-2014 12.00.00.000000000 AM,21300786,216
ES1,C00112,IT0001116,02-FEB-2014 12.00.00.000000000 AM,219879,500,25-FEB-2014 12.00.00.000000000 AM,21300889,284
ES1,C00252,IT0001043,04-FEB-2014 12.00.00.000000000 AM,219882,100,28-FEB-2014 12.00.00.000000000 AM,21300962,72
ES1,C00252,IT0001084,04-FEB-2014 12.00.00.000000000 AM,219882,4000,28-FEB-2014 12.00.00.000000000 AM,21300962,1000
ESR,C00187,IT0001026,25-FEB-2014 12.00.00.000000000 AM,219905,-500,26-FEB-2014 12.00.00.000000000 AM,21300011,-500
ES1,C00187,IT0001026,28-FEB-2014 12.00.00.000000000 AM,219912,500,28-FEB-2014 12.00.00.000000000 AM,21300965,500
ESR,C00206,IT0001024,26-DEC-2013 12.00.00.000000000 AM,219829,-160,10-FEB-2014 12.00.00.000000000 AM,21300006,-160
ESR,C00206,IT0001130,26-DEC-2013 12.00.00.000000000 AM,219829,-50,10-FEB-2014 12.00.00.000000000 AM,21300006,-50
ES1,C00206,IT0001433,20-JAN-2014 12.00.00.000000000 AM,219830,30,11-FEB-2014 12.00.00.000000000 AM,21300628,30
ES1,C00237,IT0001024,05-JAN-2014 12.00.00.000000000 AM,219836,320,05-JAN-2014 12.00.00.000000000 AM,21300037,320
ES1,C00284,IT0001014,09-JAN-2014 12.00.00.000000000 AM,219847,750,06-FEB-2014 12.00.00.000000000 AM,21300550,750
ES1,C00284,IT0001076,09-JAN-2014 12.00.00.000000000 AM,219847,50,06-FEB-2014 12.00.00.000000000 AM,21300550,50
ES1,C00284,IT0001400,09-JAN-2014 12.00.00.000000000 AM,219847,20,06-FEB-2014 12.00.00.000000000 AM,21300550,20
ES1,C00237,IT0001024,15-JAN-2014 12.00.00.000000000 AM,219855,320,26-JAN-2014 12.00.00.000000000 AM,21300361,320
ES1,C00237,IT0001096,15-JAN-2014 12.00.00.000000000 AM,219855,480,26-JAN-2014 12.00.00.000000000 AM,21300361,320
ES1,C00237,IT0001096,15-JAN-2014 12.00.00.000000000 AM,219855,480,16-FEB-2014 12.00.00.000000000 AM,21300725,160
ES1,C00237,IT0001084,15-JAN-2014 12.00.00.000000000 AM,219856,250,11-FEB-2014 12.00.00.000000000 AM,21300625,250
ES1,C00237,IT0001414,15-JAN-2014 12.00.00.000000000 AM,219856,15,16-FEB-2014 12.00.00.000000000 AM,21300726,15
ES1,C00237,IT0001494,15-JAN-2014 12.00.00.000000000 AM,219856,30,16-FEB-2014 12.00.00.000000000 AM,21300726,30
ES1,C00173,IT0001070,15-JAN-2014 12.00.00.000000000 AM,219859,100,16-JAN-2014 12.00.00.000000000 AM,21300216,100
ES1,C00224,IT0001081,10-OCT-2013 12.00.00.000000000 AM,220686,80,05-JAN-2014 12.00.00.000000000 AM,21300038,48
ES1,C00224,IT0001446,09-JAN-2014 12.00.00.000000000 AM,220728,70,26-JAN-2014 12.00.00.000000000 AM,21300359,15
ES1,C00224,IT0001430,09-JAN-2014 12.00.00.000000000 AM,220728,20,26-JAN-2014 12.00.00.000000000 AM,21300359,20
ES1,C00223,IT0001471,23-FEB-2014 12.00.00.000000000 AM,220751,50,28-FEB-2014 12.00.00.000000000 AM,21300961,50
ES3,C00184,IT0001293,31-JAN-2014 12.00.00.000000000 AM,280176,75000,03-FEB-2014 12.00.00.000000000 AM,21300496,75000
ES3,C00313,IT0001020,27-FEB-2014 12.00.00.000000000 AM,255144,160,27-FEB-2014 12.00.00.000000000 AM,21300974,160
ES1,C00110,IT0001012,02-JAN-2014 12.00.00.000000000 AM,254799,500,10-JAN-2014 12.00.00.000000000 AM,21300123,500
ES1,C00110,IT0001088,02-JAN-2014 12.00.00.000000000 AM,254799,160,10-JAN-2014 12.00.00.000000000 AM,21300123,160
ES1,C00102,IT0001076,12-JAN-2014 12.00.00.000000000 AM,254856,250,19-JAN-2014 12.00.00.000000000 AM,21300274,250
ES3,C00354,IT0001076,14-JAN-2014 12.00.00.000000000 AM,254876,500,17-JAN-2014 12.00.00.000000000 AM,21300263,250
ES3,C00354,IT0001076,14-JAN-2014 12.00.00.000000000 AM,254876,500,17-JAN-2014 12.00.00.000000000 AM,21300263,250
ES3,C00196,IT0001012,15-JAN-2014 12.00.00.000000000 AM,254882,750,15-JAN-2014 12.00.00.000000000 AM,21300219,750
ES1,C00283,IT0001133,19-JAN-2014 12.00.00.000000000 AM,254902,24,20-JAN-2014 12.00.00.000000000 AM,21300286,24
ES1,C00102,IT0001012,23-JAN-2014 12.00.00.000000000 AM,254939,2500,30-JAN-2014 12.00.00.000000000 AM,21300466,1500
ES1,C00102,IT0001012,23-JAN-2014 12.00.00.000000000 AM,254939,2500,06-FEB-2014 12.00.00.000000000 AM,21300561,250
ES1,C00102,IT0001012,23-JAN-2014 12.00.00.000000000 AM,254939,2500,14-FEB-2014 12.00.00.000000000 AM,21300702,250
ES1,C00315,IT0001381,31-JAN-2014 12.00.00.000000000 AM,254985,12,16-FEB-2014 12.00.00.000000000 AM,21300754,12
ES1,C00315,IT0001405,04-FEB-2014 12.00.00.000000000 AM,255008,7,07-FEB-2014 12.00.00.000000000 AM,21300601,7
ES1,C00315,IT0001481,04-FEB-2014 12.00.00.000000000 AM,255008,25,07-FEB-2014 12.00.00.000000000 AM,21300601,25
ESR,C00209,IT0001170,06-FEB-2014 12.00.00.000000000 AM,255022,-85,10-FEB-2014 12.00.00.000000000 AM,21300008,-85
ESR,C00209,IT0001139,06-FEB-2014 12.00.00.000000000 AM,255022,-8,10-FEB-2014 12.00.00.000000000 AM,21300008,-8
ES1,C00366,IT0001124,06-FEB-2014 12.00.00.000000000 AM,255028,16,10-FEB-2014 12.00.00.000000000 AM,21300657,16
ESR,C00257,IT0001088,09-FEB-2014 12.00.00.000000000 AM,255042,-320,10-FEB-2014 12.00.00.000000000 AM,21300005,-320
ESR,C00257,IT0001170,09-FEB-2014 12.00.00.000000000 AM,255042,-24,10-FEB-2014 12.00.00.000000000 AM,21300005,-24
ES3,C00246,IT0001088,13-FEB-2014 12.00.00.000000000 AM,255065,160,13-FEB-2014 12.00.00.000000000 AM,21300718,160
ES3,C00246,IT0001151,13-FEB-2014 12.00.00.000000000 AM,255065,32,13-FEB-2014 12.00.00.000000000 AM,21300718,32
ES3,C00205,IT0001076,18-FEB-2014 12.00.00.000000000 AM,255091,750,19-FEB-2014 12.00.00.000000000 AM,21300820,500
ES3,C00205,IT0001076,18-FEB-2014 12.00.00.000000000 AM,255091,750,20-FEB-2014 12.00.00.000000000 AM,21300836,250
ES3,C00205,IT0001020,18-FEB-2014 12.00.00.000000000 AM,255091,480,19-FEB-2014 12.00.00.000000000 AM,21300820,320
ES3,C00205,IT0001020,18-FEB-2014 12.00.00.000000000 AM,255091,480,20-FEB-2014 12.00.00.000000000 AM,21300836,160
ES3,C00173,IT0001433,06-OCT-2013 12.00.00.000000000 AM,219726,67,02-JAN-2014 12.00.00.000000000 AM,21300004,67
ES3,C00173,IT0001471,06-OCT-2013 12.00.00.000000000 AM,219726,25,02-JAN-2014 12.00.00.000000000 AM,21300004,25
ES3,C00173,IT0001415,06-OCT-2013 12.00.00.000000000 AM,219726,150,02-JAN-2014 12.00.00.000000000 AM,21300004,150
ES3,C00133,IT0001170,18-OCT-2013 12.00.00.000000000 AM,219751,100,06-JAN-2014 12.00.00.000000000 AM,21300043,20
ES1,C00195,IT0001038,24-OCT-2013 12.00.00.000000000 AM,219762,100,06-JAN-2014 12.00.00.000000000 AM,21300046,100
ES1,C00318,IT0001084,14-NOV-2013 12.00.00.000000000 AM,219776,800,14-JAN-2014 12.00.00.000000000 AM,21300180,50
ES1,C00256,IT0001197,14-NOV-2013 12.00.00.000000000 AM,219777,400,02-JAN-2014 12.00.00.000000000 AM,21300002,100
ES1,C00256,IT0001203,09-DEC-2013 12.00.00.000000000 AM,219809,160,19-JAN-2014 12.00.00.000000000 AM,21300249,55
ES1,C00256,IT0001208,09-DEC-2013 12.00.00.000000000 AM,219809,200,19-JAN-2014 12.00.00.000000000 AM,21300249,200
ES1,C00256,IT0001210,09-DEC-2013 12.00.00.000000000 AM,219809,40,19-JAN-2014 12.00.00.000000000 AM,21300249,40
ES1,C00256,IT0001108,09-DEC-2013 12.00.00.000000000 AM,219809,30,02-JAN-2014 12.00.00.000000000 AM,21300003,30
ES1,C00256,IT0001406,09-DEC-2013 12.00.00.000000000 AM,219809,4,02-JAN-2014 12.00.00.000000000 AM,21300003,4
ES1,C00256,IT0001425,09-DEC-2013 12.00.00.000000000 AM,219809,5,02-JAN-2014 12.00.00.000000000 AM,21300003,5
ES1,C00256,IT0001471,09-DEC-2013 12.00.00.000000000 AM,219809,125,02-JAN-2014 12.00.00.000000000 AM,21300003,125
