,ORDERDATE,DELIVEREDQUANTITY
5663,03-07-2014,250
5664,03-07-2014,250
5689,06-07-2014,1000
5697,06-07-2014,750
5698,06-07-2014,250
5728,07-07-2014,250
5729,07-07-2014,500
5752,08-07-2014,1000
5753,08-07-2014,1000
5754,08-07-2014,500
5758,09-07-2014,1000
5759,09-07-2014,250
5760,09-07-2014,250
5765,09-07-2014,500
5766,09-07-2014,500
5767,09-07-2014,750
5768,09-07-2014,500
5769,09-07-2014,250
5770,09-07-2014,1750
5771,09-07-2014,250
5789,10-07-2014,250
5795,10-07-2014,250
5904,14-07-2014,500
5997,17-07-2014,500
5998,17-07-2014,500
5999,17-07-2014,500
6009,18-07-2014,500
6010,18-07-2014,250
6027,18-07-2014,1750
6029,18-07-2014,250
6030,18-07-2014,250
6034,18-07-2014,1500
6035,18-07-2014,500
6037,18-07-2014,500
6038,18-07-2014,1000
6049,20-07-2014,1000
6062,23-07-2014,2000
6065,23-07-2014,1000
6066,23-07-2014,1000
6067,23-07-2014,750
6068,23-07-2014,250
6111,25-07-2014,500
6138,27-07-2014,500
6144,27-07-2014,250
6155,28-07-2014,1000
6164,28-07-2014,250
6165,28-07-2014,1000
6166,28-07-2014,250
6167,28-07-2014,500
6176,28-07-2014,250
6177,28-07-2014,250
6178,28-07-2014,750
6179,28-07-2014,750
6180,28-07-2014,250
6181,28-07-2014,500
6182,28-07-2014,1000
6196,29-07-2014,500
6222,29-07-2014,500
6223,29-07-2014,750
6224,29-07-2014,250
6225,29-07-2014,500
6226,29-07-2014,750
6240,29-07-2014,500
6241,29-07-2014,750
6242,29-07-2014,250
6243,29-07-2014,500
6244,29-07-2014,500
6245,29-07-2014,500
6246,29-07-2014,1000
6247,29-07-2014,500
6248,29-07-2014,1000
6249,29-07-2014,250
6250,29-07-2014,250
6251,29-07-2014,750
6286,30-07-2014,1000
6287,30-07-2014,1000
6288,30-07-2014,1750
6289,30-07-2014,1250
6290,30-07-2014,1250
6291,30-07-2014,500
6292,30-07-2014,2000
6313,31-07-2014,1000
6316,31-07-2014,750
6325,31-07-2014,500
6330,31-07-2014,750
6331,31-07-2014,250
6364,01-08-2014,1250
6385,01-08-2014,750
6386,01-08-2014,750
6387,01-08-2014,1000
6390,03-08-2014,250
6397,03-08-2014,500
6399,03-08-2014,1000
6400,03-08-2014,750
6401,03-08-2014,750
6402,03-08-2014,500
6429,04-08-2014,250
6488,07-08-2014,500
6489,07-08-2014,250
6548,11-08-2014,500
6565,12-08-2014,250
6574,12-08-2014,1000
6577,12-08-2014,500
6587,12-08-2014,250
6622,13-08-2014,500
6651,13-08-2014,750
6652,13-08-2014,500
6653,13-08-2014,1250
6654,13-08-2014,1000
6655,13-08-2014,250
6668,13-08-2014,500
6669,13-08-2014,250
6670,13-08-2014,250
6694,14-08-2014,250
6702,14-08-2014,1250
6703,14-08-2014,250
6722,15-08-2014,1000
6723,15-08-2014,1000
6724,15-08-2014,500
6725,15-08-2014,250
6726,15-08-2014,2000
6727,15-08-2014,2000
6728,15-08-2014,1500
6729,15-08-2014,500
6760,17-08-2014,500
6764,18-08-2014,750
6765,18-08-2014,750
6786,18-08-2014,250
6809,20-08-2014,750
6811,20-08-2014,750
6812,20-08-2014,500
6824,20-08-2014,250
6825,20-08-2014,250
6827,20-08-2014,250
6828,20-08-2014,250
6829,20-08-2014,250
6883,21-08-2014,250
6902,22-08-2014,250
6903,22-08-2014,250
6932,22-08-2014,2000
6936,22-08-2014,1500
6947,22-08-2014,1250
6961,24-08-2014,250
6970,24-08-2014,1000
6986,25-08-2014,250
7027,26-08-2014,250
7042,27-08-2014,500
7043,27-08-2014,500
7048,27-08-2014,250
7058,28-08-2014,500
7059,28-08-2014,250
7064,28-08-2014,500
7086,28-08-2014,250
7087,28-08-2014,250
7088,28-08-2014,500
7089,28-08-2014,500
7136,01-09-2014,750
7137,01-09-2014,750
7184,03-09-2014,250
7187,03-09-2014,250
7188,03-09-2014,1500
7189,03-09-2014,1000
7190,03-09-2014,500
7197,03-09-2014,250
7206,03-09-2014,500
7211,03-09-2014,1000
7212,03-09-2014,1000
7223,04-09-2014,2000
7234,04-09-2014,500
7235,04-09-2014,250
7236,04-09-2014,500
7237,04-09-2014,750
7238,04-09-2014,500
7239,04-09-2014,750
7242,04-09-2014,1000
7244,05-09-2014,1000
7269,08-09-2014,500
7270,08-09-2014,1250
7321,09-09-2014,500
7327,09-09-2014,1500
7329,09-09-2014,1750
7340,09-09-2014,250
7358,11-09-2014,500
7385,11-09-2014,500
7389,11-09-2014,250
7390,11-09-2014,2000
7391,11-09-2014,250
7406,11-09-2014,1500
7407,11-09-2014,500
7408,11-09-2014,1750
7409,11-09-2014,250
7410,11-09-2014,500
7411,11-09-2014,250
7412,11-09-2014,1750
7420,12-09-2014,750
7432,12-09-2014,250
7433,12-09-2014,250
7434,12-09-2014,500
7444,14-09-2014,250
7445,14-09-2014,500
7446,14-09-2014,250
7447,14-09-2014,1000
7470,15-09-2014,250
7471,15-09-2014,250
7485,15-09-2014,500
7486,15-09-2014,250
7489,15-09-2014,250
7490,15-09-2014,1000
7504,16-09-2014,750
7511,16-09-2014,1500
7570,18-09-2014,250
7571,18-09-2014,250
7572,18-09-2014,250
7597,19-09-2014,500
7598,19-09-2014,250
7603,19-09-2014,500
7604,19-09-2014,1500
7605,19-09-2014,500
7606,19-09-2014,250
7607,19-09-2014,1000
7615,19-09-2014,500
7626,19-09-2014,250
7629,21-09-2014,250
7635,21-09-2014,500
7636,21-09-2014,250
7637,21-09-2014,500
7719,23-09-2014,250
7720,23-09-2014,750
7725,23-09-2014,250
7735,23-09-2014,250
7736,23-09-2014,500
7737,23-09-2014,250
7738,23-09-2014,250
7739,23-09-2014,750
7745,24-09-2014,1000
7755,24-09-2014,250
7817,26-09-2014,1000
7818,26-09-2014,250
7828,26-09-2014,250
7829,26-09-2014,250
7830,26-09-2014,250
7831,26-09-2014,250
7841,28-09-2014,1000
7858,28-09-2014,250
7859,28-09-2014,500
7876,29-09-2014,1000
7929,01-10-2014,1500
7939,01-10-2014,500
7940,01-10-2014,250
7941,01-10-2014,250
7946,01-10-2014,500
7954,02-10-2014,250
7955,02-10-2014,500
7956,02-10-2014,250
7969,02-10-2014,1000
7970,02-10-2014,1000
7983,02-10-2014,500
7984,02-10-2014,750
7985,02-10-2014,250
7986,02-10-2014,250
7987,02-10-2014,500
7988,02-10-2014,750
7989,02-10-2014,250
7990,02-10-2014,250
8000,02-10-2014,750
8001,02-10-2014,1000
8010,02-10-2014,500
8011,02-10-2014,500
8012,02-10-2014,250
8079,03-10-2014,250
8080,03-10-2014,250
8107,05-10-2014,250
8111,05-10-2014,250
8133,07-10-2014,250
8139,07-10-2014,250
8152,08-10-2014,500
8172,09-10-2014,500
8173,09-10-2014,250
8174,09-10-2014,250
8175,09-10-2014,750
8176,09-10-2014,500
8177,09-10-2014,1000
8178,09-10-2014,500
8204,12-10-2014,500
8205,12-10-2014,250
8234,12-10-2014,500
8237,12-10-2014,1500
8246,12-10-2014,250
8252,12-10-2014,1500
8317,17-10-2014,250
8321,17-10-2014,750
8322,17-10-2014,500
8330,19-10-2014,500
8331,19-10-2014,250
8332,19-10-2014,500
8346,19-10-2014,500
8408,22-10-2014,750
8409,22-10-2014,250
8410,22-10-2014,500
8411,22-10-2014,250
8418,22-10-2014,750
8421,22-10-2014,1000
8425,22-10-2014,500
8432,22-10-2014,500
8443,22-10-2014,1000
8450,23-10-2014,500
8451,23-10-2014,750
8452,23-10-2014,500
8453,23-10-2014,250
8464,23-10-2014,1250
8468,23-10-2014,250
8470,23-10-2014,500
8471,23-10-2014,500
8484,24-10-2014,250
8498,26-10-2014,1750
8499,26-10-2014,1000
8523,26-10-2014,250
8524,26-10-2014,500
8525,26-10-2014,250
8531,26-10-2014,250
8532,26-10-2014,500
8536,26-10-2014,250
8537,26-10-2014,250
8538,26-10-2014,500
8539,26-10-2014,750
8540,26-10-2014,250
8548,26-10-2014,1000
8549,26-10-2014,250
8550,26-10-2014,500
8560,26-10-2014,250
8561,26-10-2014,500
8570,27-10-2014,1750
8593,27-10-2014,1000
8594,27-10-2014,250
8595,27-10-2014,500
8596,27-10-2014,750
8619,28-10-2014,250
8624,28-10-2014,500
8625,28-10-2014,250
8655,29-10-2014,250
8660,29-10-2014,250
8661,29-10-2014,750
8717,30-10-2014,2000
8718,30-10-2014,1500
8719,30-10-2014,750
8725,30-10-2014,1750
8754,03-11-2014,500
8755,03-11-2014,250
8756,03-11-2014,750
8770,03-11-2014,2000
8771,03-11-2014,1500
8772,03-11-2014,250
8798,05-11-2014,500
8815,06-11-2014,2000
8816,06-11-2014,2000
8817,06-11-2014,750
8818,06-11-2014,500
8819,06-11-2014,1250
8828,06-11-2014,750
8829,06-11-2014,1000
8830,06-11-2014,750
8853,07-11-2014,250
8855,07-11-2014,250
8856,07-11-2014,250
8857,07-11-2014,750
8905,09-11-2014,500
8916,09-11-2014,750
8917,09-11-2014,250
8918,09-11-2014,500
8934,10-11-2014,250
8935,10-11-2014,500
8936,10-11-2014,250
8937,10-11-2014,1000
8944,10-11-2014,500
8945,10-11-2014,250
8992,11-11-2014,250
8993,11-11-2014,750
9030,11-11-2014,500
9031,11-11-2014,1000
9032,11-11-2014,250
9033,11-11-2014,500
9040,11-11-2014,750
9041,11-11-2014,750
9042,11-11-2014,500
9043,11-11-2014,1000
9045,11-11-2014,250
9046,11-11-2014,500
9078,13-11-2014,250
9079,13-11-2014,250
9089,13-11-2014,250
9119,14-11-2014,1000
9120,14-11-2014,500
9155,16-11-2014,250
9156,16-11-2014,250
9163,17-11-2014,750
9164,17-11-2014,250
9165,17-11-2014,750
9166,17-11-2014,500
9167,17-11-2014,250
9193,17-11-2014,500
9194,17-11-2014,500
9195,17-11-2014,250
9196,17-11-2014,500
9197,17-11-2014,250
9198,17-11-2014,500
9200,17-11-2014,500
9228,17-11-2014,500
9229,17-11-2014,250
9237,17-11-2014,500
9238,17-11-2014,1250
9239,17-11-2014,500
9240,17-11-2014,250
9266,18-11-2014,750
9290,19-11-2014,250
9300,20-11-2014,1000
9302,20-11-2014,250
9303,20-11-2014,750
9304,20-11-2014,500
9310,20-11-2014,750
9311,20-11-2014,500
9312,20-11-2014,250
9332,21-11-2014,1500
9333,21-11-2014,750
9334,21-11-2014,500
9335,21-11-2014,500
9345,21-11-2014,750
9350,21-11-2014,500
9351,21-11-2014,500
9359,21-11-2014,500
9360,21-11-2014,250
9361,21-11-2014,750
9362,21-11-2014,250
9363,21-11-2014,1500
9377,23-11-2014,500
9418,24-11-2014,250
9427,24-11-2014,250
9428,24-11-2014,500
9429,24-11-2014,250
9430,24-11-2014,250
9446,24-11-2014,250
9447,24-11-2014,500
9448,24-11-2014,250
9459,24-11-2014,250
9498,25-11-2014,1500
9499,25-11-2014,1000
9516,25-11-2014,750
9531,25-11-2014,2000
9532,25-11-2014,500
9535,25-11-2014,2000
9536,25-11-2014,1000
9547,25-11-2014,1000
9548,25-11-2014,1000
9549,25-11-2014,1000
9550,25-11-2014,1000
9551,25-11-2014,500
9552,25-11-2014,250
9558,26-11-2014,250
9559,26-11-2014,250
9587,27-11-2014,750
9588,27-11-2014,250
9590,27-11-2014,250
9610,28-11-2014,250
9618,02-12-2014,1250
9622,02-12-2014,500
9623,02-12-2014,250
9624,02-12-2014,250
9625,02-12-2014,250
9637,02-12-2014,1000
9638,02-12-2014,500
9755,04-12-2014,250
9769,05-12-2014,1000
9770,05-12-2014,250
9778,07-12-2014,500
9779,07-12-2014,250
9780,07-12-2014,250
9781,07-12-2014,500
9789,07-12-2014,250
9790,07-12-2014,750
9800,08-12-2014,500
9818,08-12-2014,250
9860,09-12-2014,250
9862,09-12-2014,750
9863,09-12-2014,750
9907,10-12-2014,250
9908,10-12-2014,250
9923,11-12-2014,1000
9932,11-12-2014,500
9933,11-12-2014,250
9934,11-12-2014,250
9942,11-12-2014,500
9943,11-12-2014,500
9946,11-12-2014,500
9947,11-12-2014,250
9953,11-12-2014,750
9975,11-12-2014,250
9976,11-12-2014,250
9977,11-12-2014,500
9978,11-12-2014,250
9983,11-12-2014,500
9984,11-12-2014,250
9985,11-12-2014,500
9986,11-12-2014,500
9990,11-12-2014,250
9993,12-12-2014,500
9998,12-12-2014,250
10020,14-12-2014,500
10021,14-12-2014,500
10075,15-12-2014,250
10076,15-12-2014,250
10118,16-12-2014,250
10144,17-12-2014,250
10145,17-12-2014,750
